,KS_score,GS76_score,rank_KS,rank_GS76,consensus_rank,emt_group
F800,-0.18860306360306361,5.181205311131016,903.5,2610.0,1756.75,M
F801,0.2597402597402597,-5.585710983019048,3044.0,481.0,1762.5,M
F802,-0.4128371628371628,5.675178930452937,77.5,2726.0,1401.75,E
F803,0.14148351648351648,-1.927615725063113,2462.5,1015.0,1738.75,M
F804,0.11396936396936397,0.19834713018045846,2116.0,1462.0,1789.0,M
F805,0.16837329337329338,-2.6439614318056144,2668.0,887.0,1777.5,M
F806,-0.23784548784548784,-0.4505309593113722,619.0,1308.0,963.5,E
F807,0.12762237762237763,-0.924053468600313,2292.0,1202.0,1747.0,M
F808,-0.1383200133200133,1.824413773461643,1274.0,1857.0,1565.5,E
F809,-0.09848484848484848,1.9075213294237727,1595.0,1883.0,1739.0,M
F810,0.11663336663336664,-3.351421408901494,2156.0,772.0,1464.0,E
F811,-0.22997835497835498,7.415281490542874,645.5,2989.0,1817.25,M
F812,0.09415584415584416,1.5885209711462593,1868.5,1799.0,1833.75,M
F813,-0.09086746586746587,0.18676169301623702,1632.0,1458.0,1545.0,E
F814,-0.3667166167166167,3.647477860147447,154.0,2290.0,1222.0,E
F815,0.09386446886446886,-2.5742176979393605,1861.5,901.0,1381.25,E
F816,-0.5329254079254079,9.812216496776053,11.0,3205.0,1608.0,Hybrid
F817,-0.09873459873459874,3.3033044046298414,1592.0,2219.0,1905.5,M
F818,0.12595737595737597,-1.49330399619938,2272.0,1086.0,1679.0,Hybrid
F819,-0.1821928071928072,6.592532179959122,938.0,2882.0,1910.0,M
F820,-0.15917415917415917,3.251017719433456,1108.0,2205.0,1656.5,Hybrid
F821,-0.21461871461871462,4.468238699747168,743.0,2466.0,1604.5,Hybrid
F822,0.10160672660672661,1.4294950469584862,1961.5,1765.0,1863.25,M
F823,-0.289044289044289,6.623793775255379,364.0,2885.0,1624.5,Hybrid
F824,-0.38694638694638694,7.961093173005054,122.0,3052.0,1587.0,Hybrid
F825,-0.12404262404262405,-1.4846822442405099,1401.5,1089.0,1245.25,E
F826,-0.31077256077256077,5.859505981057815,290.5,2767.0,1528.75,E
F827,0.27235264735264736,-13.133712676951674,3073.0,106.0,1589.5,Hybrid
F828,-0.10947385947385947,4.0796445970972215,1515.5,2388.0,1951.75,M
